Name,BLength,BWidth,BDepth,Wing,Tarsus,Mass,PyS.A,PyS.G,PyS.T,PyS.B,PyS.M,PyS.R,D.V,D.I,D.S,D.F,D.O,D.N,H.f,H.o
Turdoides_malcolmi,14.16,4.61,8.23,116.75,36.54,75.7,0,0,0,0,1,0,0,1,0,0,0,0,0,1
Turdoides_nipalensis,14.16,4.75,6.44,89.25,33.48,61,0,1,0,0,0,0,0,1,0,0,0,0,0,1
Turdoides_striata,14.55,5.05,7.225,101.5,37.65,66,0,0,0,0,1,0,0,1,0,0,0,0,0,1
Turdus_albocinctus,16.05,4.866666667,6.65,138.5,35.575,99.4,0,1,0,0,0,0,0,1,0,0,0,0,1,0
Turdus_boulboul,15.67,5.23,6.83,142.2,36.375,97.1,0,1,0,0,0,0,0,1,0,0,0,0,1,0
Turdus_maximus,14.35,5.575,6.7,158,36.475,74.9,0,1,0,0,0,0,0,1,0,0,0,0,0,1
Turdus_rubrocanus,16.14,4.92,6.64,136.4,32.2,92.2,0,1,0,0,0,0,0,1,0,0,0,0,1,0
Turdus_unicolor,12.98333333,4.457142857,5.785714286,121,32.9,64.2,0,1,0,0,0,0,0,1,0,0,0,0,1,0
Turdus_viscivorus,15.13333333,5.8,6.866666667,162.6666667,35.025,117.5,0,1,0,0,0,0,0,1,0,0,0,0,1,0
Tyto_alba,NA,NA,NA,NA,NA,355,0,0,0,0,1,0,1,0,0,0,0,0,0,0
Tyto_longimembris,20.92,11.14,15.37,342.5,94.815,341.5,0,1,0,0,0,0,1,0,0,0,0,0,0,0
Upupa_epops,46.045,5.49,6.015,144.5,24.255,61.4,0,1,0,0,0,0,0,1,0,0,0,0,0,1
Urocissa_erythrorhyncha,24.5375,12.6425,14.395,196.7,47.87,152,0,0,1,0,0,0,0,1,0,0,0,0,1,0
Urocissa_flavirostris,24.37,12.4375,13.335,190,49.01,150.5,0,0,1,0,0,0,0,1,0,0,0,0,1,0
Xiphirhynchus_superciliaris,43.15,2.7,5,77,31.35,28,0,1,0,0,0,0,0,1,0,0,0,0,1,0
Yuhina_bakeri,6.5,3.395,4.025,67,21.79,17.5,0,0,0,0,1,0,0,1,0,0,0,0,1,0
Yuhina_flavicollis,6.7,2.93,3.22,63.2,21.72333333,15.4,0,0,0,0,1,0,0,1,0,0,0,0,1,0
Yuhina_gularis,8.29,3.2,3.13,73.1,23.845,21,0,0,1,0,0,0,0,1,0,0,0,0,1,0
Yuhina_nigrimenta,6.735,2.63,2.515,56,16.395,9.5,0,0,0,0,1,0,0,1,0,0,0,0,1,0
Yuhina_occipitalis,8.16,2.75,2.95,61.5,20.09333333,13,0,0,1,0,0,0,0,1,0,0,0,0,1,0
Zoonavena_sylvatica,3.225,2.6,1.725,112.5,12,13,1,0,0,0,0,0,0,1,0,0,0,0,0,1
Zoothera_citrina,13.55,5.05,6.25,116,31.75,53.3,0,1,0,0,0,0,0,1,0,0,0,0,1,0
Zoothera_dauma,16.4,5.1,6.45,140.5,33.05,138.5,0,1,0,0,0,0,0,1,0,0,0,0,1,0
Zoothera_dixoni,14.4,5.25,5.45,141.5,38.9,90,0,1,0,0,0,0,0,1,0,0,0,0,1,0
Zoothera_marginata,20.525,5.45,6.95,119.5,29.35,81,0,1,0,0,0,0,0,1,0,0,0,0,1,0
Zoothera_mollissima,16.1,5.35,6.05,143.75,36.25,98.2,0,1,0,0,0,0,0,1,0,0,0,0,0,1
Zoothera_monticola,32.35,6.675,9.325,143.75,35.25,126,0,1,0,0,0,0,0,1,0,0,0,0,1,0
Zoothera_wardii,15.95,5.3,5.975,114.5,28.6,58.6,0,1,0,0,0,0,0,1,0,0,0,0,1,0
Zosterops_palpebrosus,6.48,2.31,2.82,52.6,16.6775,8.6,0,0,0,0,1,0,0,1,0,0,0,0,1,0
